protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count,selected_path,final_cached_path,weak_link_shadowing_db,weak_edge,route_discovery_attempts,selected_confidence,final_cached_confidence,candidate_count,short_candidate_seen,long_candidate_seen,short_candidate_confidence,long_candidate_confidence,selected_route_class,case
meshecho-no-confidence,18,751.0,24,24,0,0.875,0.958333,0.0,2.087387,1.29428,2.087387,0.740352,1.480704,23,21,0,147,71,76,67,36.277248,36.277248,0.048305,14.36579,7.398382,21.764172,1.036389,1.727488,1.29428,283,11,294,0.962585,0,0.0,0,0,6,3,23,1,0,0,0.698223,0.517007,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,1-2,1,0.724846,0.724846,2,1,1,0.724846,0.83,short,short-weak-7.5db
meshecho-confidence,19,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,202,96,106,96,49.850368,49.850368,0.066379,19.740746,10.166484,29.90723,1.246135,2.077099,1.528267,404,0,404,1.0,0,0.0,0,0,6,4,23,1,0,0,0.803396,0.524752,0,0,0.0,0,24,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,1,0.83,0.83,2,1,1,0.724846,0.83,long,short-weak-7.5db
meshecho-no-confidence,19,751.0,24,24,0,0.875,0.875,0.0,2.087387,1.347035,2.087387,0.740352,1.480704,21,21,0,141,69,72,63,34.796544,34.796544,0.046334,13.779431,7.096407,20.875839,0.994088,1.656978,1.347035,273,9,282,0.968085,0,0.0,0,0,6,3,23,1,0,0,0.698223,0.510638,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,1-2,1,0.724846,0.724846,2,1,1,0.724846,0.83,short,short-weak-7.5db
meshecho-confidence,20,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,202,96,106,96,49.850368,49.850368,0.066379,19.740746,10.166484,29.90723,1.246135,2.077099,1.528267,404,0,404,1.0,0,0.0,0,0,6,4,23,1,0,0,0.803396,0.524752,0,0,0.0,0,24,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,1,0.83,0.83,2,1,1,0.724846,0.83,long,short-weak-7.5db
meshecho-no-confidence,20,751.0,24,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,8,0,8,0,1.974272,1.974272,0.002629,0.781812,0.402633,1.184445,0.0,0.0,0.0,15,1,16,0.9375,0,0.0,0,0,6,2,0,24,0,0,0.724846,1.0,0,0,0.0,0,24,0,0,0-1-2-5,,7.5,1-2,1,0.724846,0.0,2,1,1,0.724846,0.83,short,short-weak-7.5db
meshecho-confidence,21,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,202,96,106,96,49.850368,49.850368,0.066379,19.740746,10.166484,29.90723,1.246135,2.077099,1.528267,404,0,404,1.0,0,0.0,0,0,6,4,23,1,0,0,0.803396,0.524752,0,0,0.0,0,24,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,1,0.83,0.83,2,1,1,0.724846,0.83,long,short-weak-7.5db
meshecho-no-confidence,21,751.0,24,24,0,0.708333,0.875,0.0,1.480704,1.347035,1.480704,0.740352,1.480704,21,17,0,137,69,68,59,33.809408,33.809408,0.045019,13.388526,6.895091,20.283616,1.193154,1.988789,1.347035,262,12,274,0.956204,0,0.0,0,0,6,3,23,1,0,0,0.698223,0.49635,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,1-2,1,0.724846,0.724846,2,1,1,0.724846,0.83,short,short-weak-7.5db
meshecho-confidence,22,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,201,96,105,96,49.603584,49.603584,0.06605,19.643019,10.116155,29.759174,1.239966,2.066816,1.528267,401,1,402,0.997512,0,0.0,0,0,5,4,23,1,0,0,0.803396,0.522388,0,0,0.0,0,24,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,1,0.83,0.83,1,0,1,0.0,0.83,long,short-weak-7.5db
meshecho-no-confidence,22,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,201,96,105,96,49.603584,49.603584,0.06605,19.643019,10.116155,29.759174,1.239966,2.066816,1.528267,401,1,402,0.997512,0,0.0,0,0,5,4,23,1,0,0,0.803396,0.522388,0,0,0.0,0,24,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,1,0.83,0.83,1,0,1,0.0,0.83,long,short-weak-7.5db
meshecho-confidence,23,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,202,96,106,96,49.850368,49.850368,0.066379,19.740746,10.166484,29.90723,1.246135,2.077099,1.528267,404,0,404,1.0,0,0.0,0,0,6,4,23,1,0,0,0.803396,0.524752,0,0,0.0,0,24,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,1,0.83,0.83,2,1,1,0.724846,0.83,long,short-weak-7.5db
meshecho-no-confidence,23,751.0,24,24,0,0.875,0.958333,0.0,2.087387,1.29428,2.087387,0.740352,1.480704,23,21,0,147,71,76,67,36.277248,36.277248,0.048305,14.36579,7.398382,21.764172,1.036389,1.727488,1.29428,288,6,294,0.979592,0,0.0,0,0,6,3,23,1,0,0,0.698223,0.517007,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,1-2,1,0.724846,0.724846,2,1,1,0.724846,0.83,short,short-weak-7.5db
meshecho-confidence,24,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,201,96,105,96,49.603584,49.603584,0.06605,19.643019,10.116155,29.759174,1.239966,2.066816,1.528267,401,1,402,0.997512,0,0.0,0,0,5,4,23,1,0,0,0.803396,0.522388,0,0,0.0,0,24,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,1,0.83,0.83,1,0,1,0.0,0.83,long,short-weak-7.5db
meshecho-no-confidence,24,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,201,96,105,96,49.603584,49.603584,0.06605,19.643019,10.116155,29.759174,1.239966,2.066816,1.528267,401,1,402,0.997512,0,0.0,0,0,5,4,23,1,0,0,0.803396,0.522388,0,0,0.0,0,24,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,1,0.83,0.83,1,0,1,0.0,0.83,long,short-weak-7.5db
meshecho-confidence,25,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,202,96,106,96,49.850368,49.850368,0.066379,19.740746,10.166484,29.90723,1.246135,2.077099,1.528267,404,0,404,1.0,0,0.0,0,0,6,4,23,1,0,0,0.803396,0.524752,0,0,0.0,0,24,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,1,0.83,0.83,2,1,1,0.724846,0.83,long,short-weak-7.5db
meshecho-no-confidence,25,751.0,24,24,0,0.833333,0.916667,0.0,2.117722,1.319459,2.117722,0.740352,2.117722,22,20,0,143,70,73,64,35.290112,35.290112,0.046991,13.974884,7.197065,21.17195,1.058597,1.764506,1.319459,278,8,286,0.972028,0,0.0,0,0,6,3,23,1,0,0,0.698223,0.51049,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,1-2,1,0.724846,0.724846,2,1,1,0.724846,0.83,short,short-weak-7.5db
meshecho-confidence,26,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,202,96,106,96,49.850368,49.850368,0.066379,19.740746,10.166484,29.90723,1.246135,2.077099,1.528267,404,0,404,1.0,0,0.0,0,0,6,4,23,1,0,0,0.803396,0.524752,0,0,0.0,0,24,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,1,0.83,0.83,2,1,1,0.724846,0.83,long,short-weak-7.5db
meshecho-no-confidence,26,751.0,24,24,0,0.708333,0.791667,0.0,2.230136,1.410897,2.230136,2.014387,4.028774,19,17,0,131,67,64,55,32.328704,32.328704,0.043048,12.802167,6.593116,19.395283,1.140899,1.901688,1.410897,253,9,262,0.965649,0,0.0,0,0,6,3,23,1,0,0,0.698223,0.48855,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,1-2,1,0.724846,0.724846,2,1,1,0.724846,0.83,short,short-weak-7.5db
meshecho-confidence,27,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,202,96,106,96,49.850368,49.850368,0.066379,19.740746,10.166484,29.90723,1.246135,2.077099,1.528267,404,0,404,1.0,0,0.0,0,0,6,4,23,1,0,0,0.803396,0.524752,0,0,0.0,0,24,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,1,0.83,0.83,2,1,1,0.724846,0.83,long,short-weak-7.5db
meshecho-no-confidence,27,751.0,24,24,0,0.916667,1.0,0.0,2.059811,1.2712,2.059811,0.740352,1.480704,24,22,0,151,72,79,70,37.264384,37.264384,0.04962,14.756696,7.599698,22.356395,1.0162,1.693836,1.2712,295,7,302,0.976821,0,0.0,0,0,6,3,23,1,0,0,0.698223,0.523179,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,1-2,1,0.724846,0.724846,2,1,1,0.724846,0.83,short,short-weak-7.5db
meshecho-confidence,28,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,202,96,106,96,49.850368,49.850368,0.066379,19.740746,10.166484,29.90723,1.246135,2.077099,1.528267,404,0,404,1.0,0,0.0,0,0,6,4,23,1,0,0,0.803396,0.524752,0,0,0.0,0,24,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,1,0.83,0.83,2,1,1,0.724846,0.83,long,short-weak-7.5db
meshecho-no-confidence,28,751.0,24,24,0,0.916667,0.958333,0.0,2.059811,1.29428,2.059811,0.740352,1.480704,23,22,0,148,71,77,68,36.524032,36.524032,0.048634,14.463517,7.448711,21.912228,0.99601,1.660183,1.29428,288,8,296,0.972973,0,0.0,0,0,6,3,23,1,0,0,0.698223,0.52027,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,1-2,1,0.724846,0.724846,2,1,1,0.724846,0.83,short,short-weak-7.5db
meshecho-confidence,29,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,202,96,106,96,49.850368,49.850368,0.066379,19.740746,10.166484,29.90723,1.246135,2.077099,1.528267,404,0,404,1.0,0,0.0,0,0,6,4,23,1,0,0,0.803396,0.524752,0,0,0.0,0,24,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,1,0.83,0.83,2,1,1,0.724846,0.83,long,short-weak-7.5db
meshecho-no-confidence,29,751.0,24,24,0,0.791667,0.916667,0.0,2.151249,1.319459,2.151249,0.740352,2.754739,22,19,0,142,70,72,63,35.043328,35.043328,0.046662,13.877158,7.146736,21.023894,1.106521,1.844386,1.319459,276,8,284,0.971831,0,0.0,0,0,6,3,23,1,0,0,0.698223,0.507042,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,1-2,1,0.724846,0.724846,2,1,1,0.724846,0.83,short,short-weak-7.5db
meshecho-confidence,30,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,202,96,106,96,49.850368,49.850368,0.066379,19.740746,10.166484,29.90723,1.246135,2.077099,1.528267,404,0,404,1.0,0,0.0,0,0,6,4,23,1,0,0,0.803396,0.524752,0,0,0.0,0,24,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,1,0.83,0.83,2,1,1,0.724846,0.83,long,short-weak-7.5db
meshecho-no-confidence,30,751.0,24,24,0,0.916667,0.958333,0.0,2.059811,1.29428,2.059811,0.740352,1.480704,23,22,0,148,71,77,68,36.524032,36.524032,0.048634,14.463517,7.448711,21.912228,0.99601,1.660183,1.29428,293,3,296,0.989865,0,0.0,0,0,6,3,23,1,0,0,0.698223,0.52027,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,1-2,1,0.724846,0.724846,2,1,1,0.724846,0.83,short,short-weak-7.5db
meshecho-confidence,31,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,202,96,106,96,49.850368,49.850368,0.066379,19.740746,10.166484,29.90723,1.246135,2.077099,1.528267,404,0,404,1.0,0,0.0,0,0,6,4,23,1,0,0,0.803396,0.524752,0,0,0.0,0,24,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,1,0.83,0.83,2,1,1,0.724846,0.83,long,short-weak-7.5db
meshecho-no-confidence,31,751.0,24,24,0,0.791667,0.791667,0.0,2.151249,1.410897,2.151249,2.014387,2.754739,19,19,0,133,67,66,57,32.822272,32.822272,0.043705,12.99762,6.693774,19.691394,1.036389,1.727488,1.410897,258,8,266,0.969925,0,0.0,0,0,6,3,23,1,0,0,0.698223,0.496241,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,1-2,1,0.724846,0.724846,2,1,1,0.724846,0.83,short,short-weak-7.5db
meshecho-confidence,32,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,202,96,106,96,49.850368,49.850368,0.066379,19.740746,10.166484,29.90723,1.246135,2.077099,1.528267,404,0,404,1.0,0,0.0,0,0,6,4,23,1,0,0,0.803396,0.524752,0,0,0.0,0,24,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,1,0.83,0.83,2,1,1,0.724846,0.83,long,short-weak-7.5db
meshecho-no-confidence,32,751.0,24,24,0,0.75,0.791667,0.0,2.188501,1.410897,2.188501,2.014387,3.391757,19,18,0,132,67,65,56,32.575488,32.575488,0.043376,12.899893,6.643445,19.543338,1.085741,1.809749,1.410897,253,11,264,0.958333,0,0.0,0,0,6,3,23,1,0,0,0.698223,0.492424,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,1-2,1,0.724846,0.724846,2,1,1,0.724846,0.83,short,short-weak-7.5db
meshecho-confidence,33,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,202,96,106,96,49.850368,49.850368,0.066379,19.740746,10.166484,29.90723,1.246135,2.077099,1.528267,403,1,404,0.997525,0,0.0,0,0,6,4,23,1,0,0,0.803396,0.524752,0,0,0.0,0,24,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,1,0.83,0.83,2,1,1,0.724846,0.83,long,short-weak-7.5db
meshecho-no-confidence,33,751.0,24,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,8,0,8,0,1.974272,1.974272,0.002629,0.781812,0.402633,1.184445,0.0,0.0,0.0,14,2,16,0.875,0,0.0,0,0,6,2,0,24,0,0,0.724846,1.0,0,0,0.0,0,24,0,0,0-1-2-5,,7.5,1-2,1,0.724846,0.0,2,1,1,0.724846,0.83,short,short-weak-7.5db
meshecho-confidence,34,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,202,96,106,96,49.850368,49.850368,0.066379,19.740746,10.166484,29.90723,1.246135,2.077099,1.528267,403,1,404,0.997525,0,0.0,0,0,6,4,23,1,0,0,0.803396,0.524752,0,0,0.0,0,24,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,1,0.83,0.83,2,1,1,0.724846,0.83,long,short-weak-7.5db
meshecho-no-confidence,34,751.0,24,24,0,0.791667,0.833333,0.0,2.151249,1.37737,2.151249,1.37737,2.754739,20,19,0,136,68,68,59,33.562624,33.562624,0.044691,13.290799,6.844762,20.135561,1.059766,1.766454,1.37737,261,11,272,0.959559,0,0.0,0,0,6,3,23,1,0,0,0.698223,0.5,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,1-2,1,0.724846,0.724846,2,1,1,0.724846,0.83,short,short-weak-7.5db
meshecho-confidence,35,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,202,96,106,96,49.850368,49.850368,0.066379,19.740746,10.166484,29.90723,1.246135,2.077099,1.528267,404,0,404,1.0,0,0.0,0,0,6,4,23,1,0,0,0.803396,0.524752,0,0,0.0,0,24,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,1,0.83,0.83,2,1,1,0.724846,0.83,long,short-weak-7.5db
meshecho-no-confidence,35,751.0,24,24,0,0.833333,0.916667,0.0,2.117722,1.319459,2.117722,0.740352,2.117722,22,20,0,143,70,73,64,35.290112,35.290112,0.046991,13.974884,7.197065,21.17195,1.058597,1.764506,1.319459,279,7,286,0.975524,0,0.0,0,0,6,3,23,1,0,0,0.698223,0.51049,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,1-2,1,0.724846,0.724846,2,1,1,0.724846,0.83,short,short-weak-7.5db
meshecho-confidence,36,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,201,96,105,96,49.603584,49.603584,0.06605,19.643019,10.116155,29.759174,1.239966,2.066816,1.528267,401,1,402,0.997512,0,0.0,0,0,5,4,23,1,0,0,0.803396,0.522388,0,0,0.0,0,24,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,1,0.83,0.83,1,0,1,0.0,0.83,long,short-weak-7.5db
meshecho-no-confidence,36,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,201,96,105,96,49.603584,49.603584,0.06605,19.643019,10.116155,29.759174,1.239966,2.066816,1.528267,401,1,402,0.997512,0,0.0,0,0,5,4,23,1,0,0,0.803396,0.522388,0,0,0.0,0,24,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,1,0.83,0.83,1,0,1,0.0,0.83,long,short-weak-7.5db
meshecho-confidence,37,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,202,96,106,96,49.850368,49.850368,0.066379,19.740746,10.166484,29.90723,1.246135,2.077099,1.528267,404,0,404,1.0,0,0.0,0,0,6,4,23,1,0,0,0.803396,0.524752,0,0,0.0,0,24,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,1,0.83,0.83,2,1,1,0.724846,0.83,long,short-weak-7.5db
meshecho-no-confidence,37,751.0,24,24,0,0.958333,1.0,0.0,2.034632,1.2712,2.034632,0.740352,1.480704,24,23,0,152,72,80,71,37.511168,37.511168,0.049948,14.854423,7.650028,22.50445,0.978454,1.63092,1.2712,295,9,304,0.970395,0,0.0,0,0,6,3,23,1,0,0,0.698223,0.526316,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,1-2,1,0.724846,0.724846,2,1,1,0.724846,0.83,short,short-weak-7.5db
meshecho-confidence,38,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,202,96,106,96,49.850368,49.850368,0.066379,19.740746,10.166484,29.90723,1.246135,2.077099,1.528267,404,0,404,1.0,0,0.0,0,0,6,4,23,1,0,0,0.803396,0.524752,0,0,0.0,0,24,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,1,0.83,0.83,2,1,1,0.724846,0.83,long,short-weak-7.5db
meshecho-no-confidence,38,751.0,24,24,0,0.791667,0.958333,0.0,2.151249,1.29428,2.151249,0.740352,2.754739,23,19,0,145,71,74,65,35.78368,35.78368,0.047648,14.170337,7.297724,21.468061,1.129898,1.883352,1.29428,283,7,290,0.975862,0,0.0,0,0,6,3,23,1,0,0,0.698223,0.510345,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,1-2,1,0.724846,0.724846,2,1,1,0.724846,0.83,short,short-weak-7.5db
meshecho-confidence,39,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,202,96,106,96,49.850368,49.850368,0.066379,19.740746,10.166484,29.90723,1.246135,2.077099,1.528267,404,0,404,1.0,0,0.0,0,0,6,4,23,1,0,0,0.803396,0.524752,0,0,0.0,0,24,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,1,0.83,0.83,2,1,1,0.724846,0.83,long,short-weak-7.5db
meshecho-no-confidence,39,751.0,24,24,0,0.708333,0.833333,0.0,2.230136,1.37737,2.230136,1.37737,4.028774,20,17,0,134,68,66,57,33.069056,33.069056,0.044033,13.095346,6.744103,19.839449,1.167026,1.945239,1.37737,257,11,268,0.958955,0,0.0,0,0,6,3,23,1,0,0,0.698223,0.492537,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,1-2,1,0.724846,0.724846,2,1,1,0.724846,0.83,short,short-weak-7.5db
meshecho-confidence,40,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,202,96,106,96,49.850368,49.850368,0.066379,19.740746,10.166484,29.90723,1.246135,2.077099,1.528267,404,0,404,1.0,0,0.0,0,0,6,4,23,1,0,0,0.803396,0.524752,0,0,0.0,0,24,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,1,0.83,0.83,2,1,1,0.724846,0.83,long,short-weak-7.5db
meshecho-no-confidence,40,751.0,24,24,0,0.875,0.958333,0.0,2.087387,1.29428,2.087387,0.740352,1.480704,23,21,0,147,71,76,67,36.277248,36.277248,0.048305,14.36579,7.398382,21.764172,1.036389,1.727488,1.29428,288,6,294,0.979592,0,0.0,0,0,6,3,23,1,0,0,0.698223,0.517007,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,1-2,1,0.724846,0.724846,2,1,1,0.724846,0.83,short,short-weak-7.5db
meshecho-confidence,41,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,201,96,105,96,49.603584,49.603584,0.06605,19.643019,10.116155,29.759174,1.239966,2.066816,1.528267,401,1,402,0.997512,0,0.0,0,0,5,4,23,1,0,0,0.803396,0.522388,0,0,0.0,0,24,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,1,0.83,0.83,1,0,1,0.0,0.83,long,short-weak-7.5db
meshecho-no-confidence,41,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,201,96,105,96,49.603584,49.603584,0.06605,19.643019,10.116155,29.759174,1.239966,2.066816,1.528267,401,1,402,0.997512,0,0.0,0,0,5,4,23,1,0,0,0.803396,0.522388,0,0,0.0,0,24,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,1,0.83,0.83,1,0,1,0.0,0.83,long,short-weak-7.5db
meshecho-confidence,42,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,202,96,106,96,49.850368,49.850368,0.066379,19.740746,10.166484,29.90723,1.246135,2.077099,1.528267,404,0,404,1.0,0,0.0,0,0,6,4,23,1,0,0,0.803396,0.524752,0,0,0.0,0,24,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,1,0.83,0.83,2,1,1,0.724846,0.83,long,short-weak-7.5db
meshecho-no-confidence,42,751.0,24,24,0,0.791667,0.833333,0.0,2.151249,1.37737,2.151249,1.37737,2.754739,20,19,0,136,68,68,59,33.562624,33.562624,0.044691,13.290799,6.844762,20.135561,1.059766,1.766454,1.37737,259,13,272,0.952206,0,0.0,0,0,6,3,23,1,0,0,0.698223,0.5,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,1-2,1,0.724846,0.724846,2,1,1,0.724846,0.83,short,short-weak-7.5db
meshecho-confidence,43,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,202,96,106,96,49.850368,49.850368,0.066379,19.740746,10.166484,29.90723,1.246135,2.077099,1.528267,404,0,404,1.0,0,0.0,0,0,6,4,23,1,0,0,0.803396,0.524752,0,0,0.0,0,24,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,1,0.83,0.83,2,1,1,0.724846,0.83,long,short-weak-7.5db
meshecho-no-confidence,43,751.0,24,24,0,0.791667,0.875,0.0,2.151249,1.347035,2.151249,0.740352,2.754739,21,19,0,139,69,70,61,34.302976,34.302976,0.045676,13.583978,6.995749,20.579727,1.083144,1.80542,1.347035,270,8,278,0.971223,0,0.0,0,0,6,3,23,1,0,0,0.698223,0.503597,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,1-2,1,0.724846,0.724846,2,1,1,0.724846,0.83,short,short-weak-7.5db
meshecho-confidence,44,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,202,96,106,96,49.850368,49.850368,0.066379,19.740746,10.166484,29.90723,1.246135,2.077099,1.528267,404,0,404,1.0,0,0.0,0,0,6,4,23,1,0,0,0.803396,0.524752,0,0,0.0,0,24,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,1,0.83,0.83,2,1,1,0.724846,0.83,long,short-weak-7.5db
meshecho-no-confidence,44,751.0,24,24,0,0.833333,0.833333,0.0,2.117722,1.37737,2.117722,1.37737,2.117722,20,20,0,137,68,69,60,33.809408,33.809408,0.045019,13.388526,6.895091,20.283616,1.014181,1.69047,1.37737,268,6,274,0.978102,0,0.0,0,0,6,3,23,1,0,0,0.698223,0.50365,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,1-2,1,0.724846,0.724846,2,1,1,0.724846,0.83,short,short-weak-7.5db
meshecho-confidence,45,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,202,96,106,96,49.850368,49.850368,0.066379,19.740746,10.166484,29.90723,1.246135,2.077099,1.528267,404,0,404,1.0,0,0.0,0,0,6,4,23,1,0,0,0.803396,0.524752,0,0,0.0,0,24,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,1,0.83,0.83,2,1,1,0.724846,0.83,long,short-weak-7.5db
meshecho-no-confidence,45,751.0,24,24,0,0.666667,0.833333,0.0,1.480704,0.740352,1.480704,0.740352,1.480704,20,16,0,133,68,65,56,32.822272,32.822272,0.043705,12.99762,6.693774,19.691394,1.230712,2.051392,0.740352,255,11,266,0.958647,0,0.0,0,0,6,3,23,1,0,0,0.698223,0.488722,0,0,0.0,0,24,0,0,0-1-2-5,0-1-2-5,7.5,1-2,1,0.724846,0.724846,2,1,1,0.724846,0.83,short,short-weak-7.5db
